Empresa;Ramo de atividade;Faturamento anual;Orçamento anual de TI;Investimento em Automação;Investimento em APIs;Investimento em BI;Investimento em Blockchain;Investimento em Cloud;Investimento em Cibersegurança;Investimento em Inteligência Artificial;Investimento em Metaverso;Investimento em ESG;Maiores desafios da área de TI;Maiores fatores de risco para atingir os desafios;Posição da área de TI em projetos de inovação
223;Agronegócios;Até R$ 8 bilhões;Até R$ 80 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
224;Agronegócios;Até R$ 600 milhões;Até R$ 10 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
225;Indústria de Alimentos, bebidas e fumos;Acima de 15 bilhões;Até R$ 1 bilhão;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
226;Holdings e Grupos Empresariais;Até R$ 600 milhões;Até R$ 50 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
227;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Acima de 15 bilhões;Até R$ 500 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Atualização / substituição de solução de ERP e/ou CRM";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
228;Agronegócios;Até R$ 5 bilhões;Até R$ 50 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Gerenciar nosso ambiente multicloud;Atualização / substituição de solução de ERP e/ou CRM";Conflito de prioridades e múltiplas demandas;Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
229;Serviços Financeiros;Não informa;Até R$ 30 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
230;Serviços Diversos (mídia, comunicação, hotelaria, advocacia, consultoria, etc.);Até R$ 1 bilhão;Até R$ 20 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Contratação / retenção de profissionais qualificados;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
231;Setor Público;Não informa;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Contratação / retenção de profissionais qualificados;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Falta de cultura em inovação;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
232;Comércio (atacado ou varejo);Até R$ 1 bilhão;Até R$ 10 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
233;Siderurgia, Metalurgia ou Mineração;Até R$ 800 milhões;Até R$ 20 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
234;Bens de consumo;Até R$ 10 bilhões;Até R$ 80 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação";Envolve-se informal e indiretamente com os projetos de inovação
235;Serviços Diversos (mídia, comunicação, hotelaria, advocacia, consultoria, etc.);Até R$ 5 bilhões;Até R$ 50 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
236;Siderurgia, Metalurgia ou Mineração;Acima de 15 bilhões;Até R$ 100 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
237;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 3 bilhões;Até R$ 80 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
238;Utilities;Acima de 15 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente";Envolve-se informal e indiretamente com os projetos de inovação
239;Comércio (atacado ou varejo);Até R$ 4 bilhões;Até R$ 50 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Adequação aos processos & políticas de Governança / Compliance;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
240;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 3 bilhões;Até R$ 30 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
241;Bens de consumo;Até R$ 2 bilhões;Até R$ 20 milhões;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Processos lentos e inflexíveis;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
242;Serviços Financeiros;Acima de 15 bilhões;Até R$ 300 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
243;Serviços Financeiros;Até R$ 600 milhões;Abaixo de R$ 5 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Contratação / retenção de profissionais qualificados;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS)";"Falta de equipe com as habilidades necessárias;Baixo grau de maturidade na governança de TI da empresa;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
244;Transporte e Logística;Até R$ 2 bilhões;Até R$ 15 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Falta de patrocínio da alta Direção da empresa";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
245;Outro;Até R$ 300 milhões;Abaixo de R$ 5 milhões;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Baixo grau de maturidade na governança de TI da empresa;Falta de cultura em inovação;Falta de patrocínio da alta Direção da empresa";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
246;Transporte e Logística;Até R$ 1 bilhão;Até R$ 20 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
247;Setor Público;Até R$ 500 milhões;Até R$ 200 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
